web-scraper-order,web-scraper-start-url,Game,Game-href,Title,Release Date,Metascore,User Score,Genre,Num_Players
"1630853985-706","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Command & Conquer: Red Alert","https://www.metacritic.com/game/pc/command-conquer-red-alert","Command & Conquer: Red Alert","Oct 31, 1996","90","8.7","Genre(s): Strategy,                                            Real-Time,                                            Sci-Fi,                                            Sci-Fi,                                            Command","1-6"
"1630853822-650","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Kerbal Space Program","https://www.metacritic.com/game/pc/kerbal-space-program","Kerbal Space Program","Apr 27, 2015","88","8.2","Genre(s): Sci-Fi,                                            Small Spaceship,                                            Small Spaceship,                                            Simulation,                                            Space,                                            Combat","No Online Multiplayer"
"1630854050-729","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Stephen's Sausage Roll","https://www.metacritic.com/game/pc/stephens-sausage-roll","Stephen's Sausage Roll","Apr 18, 2016","90","5.5","Genre(s): Puzzle,                                            Action,                                            General","No Online Multiplayer"
"1630853888-672","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Descent 3","https://www.metacritic.com/game/pc/descent-3","Descent 3","Jun 14, 2000","89","7.7","Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Sci-Fi,                                            Sci-Fi,                                            Arcade","1-16"
"1630854041-725","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Braid","https://www.metacritic.com/game/pc/braid","Braid","Apr 10, 2009","90","8.6","Genre(s): Action,                                            Platformer,                                            Platformer,                                            2D,                                            2D","No Online Multiplayer"
"1630853820-649","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Tribes 2","https://www.metacritic.com/game/pc/tribes-2","Tribes 2","Mar 28, 2001","88","8.3","Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Sci-Fi,                                            Sci-Fi,                                            Arcade","null"
"1630853957-695","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Fallout","https://www.metacritic.com/game/pc/fallout","Fallout","Oct  9, 1997","89","8.8","Genre(s): Role-Playing,                                            First-Person,                                            First-Person,                                            PC-style RPG,                                            PC-style RPG,                                            Western-Style","No Online Multiplayer"
"1630853805-644","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Far Cry 3","https://www.metacritic.com/game/pc/far-cry-3","Far Cry 3","Dec  4, 2012","88","8.4","Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Modern,                                            Modern,                                            Arcade","Up to 4"
"1630853974-702","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","The Walking Dead: A Telltale Games Series","https://www.metacritic.com/game/pc/the-walking-dead-a-telltale-games-series","The Walking Dead: A Telltale Games Series","Apr 24, 2012","89","8.8","Genre(s): Compilation,                                            Miscellaneous,                                            Adventure,                                            Compilation,                                            Point-and-Click","No Online Multiplayer"
"1630853849-658","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Medieval: Total War","https://www.metacritic.com/game/pc/medieval-total-war","Medieval: Total War","Aug 19, 2002","88","8.6","Genre(s): Strategy,                                            Real-Time,                                            Historic,                                            General,                                            Historic","1-8"
"1630853858-661","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Asgard's Wrath","https://www.metacritic.com/game/pc/asgards-wrath","Asgard's Wrath","Oct 10, 2019","88","8.2","Genre(s): Action Adventure,                                            General","No Online Multiplayer"
"1630853856-660","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","XCOM 2: War of the Chosen","https://www.metacritic.com/game/pc/xcom-2-war-of-the-chosen","XCOM 2: War of the Chosen","Aug 29, 2017","88","7.9","Genre(s): Strategy,                                            Turn-Based,                                            Tactics","null"
"1630853943-690","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Left 4 Dead","https://www.metacritic.com/game/pc/left-4-dead","Left 4 Dead","Nov 17, 2008","89","9.1","Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Sci-Fi,                                            Sci-Fi,                                            Arcade","Up to 8"
"1630854034-722","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Silent Hunter III","https://www.metacritic.com/game/pc/silent-hunter-iii","Silent Hunter III","Mar 15, 2005","90","7.8","Genre(s): Simulation,                                            Submarine,                                            Submarine,                                            Marine,                                            Combat","8  Online"
"1630853908-679","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Duke Nukem 3D","https://www.metacritic.com/game/pc/duke-nukem-3d","Duke Nukem 3D","Jan 29, 1996","89","8.7","Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Sci-Fi,                                            Sci-Fi,                                            Arcade","Up to 8"
"1630853977-703","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Resident Evil 2","https://www.metacritic.com/game/pc/resident-evil-2","Resident Evil 2","Jan 25, 2019","89","9.0","Genre(s): Action Adventure,                                            Survival","No Online Multiplayer"
"1630854048-728","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Tony Hawk's Pro Skater 3","https://www.metacritic.com/game/pc/tony-hawks-pro-skater-3","Tony Hawk's Pro Skater 3","Mar 28, 2002","90","8.4","Genre(s): Sports,                                            Alternative,                                            Individual,                                            Skateboarding,                                            Skateboarding,                                            Skate / Skateboard","Up to 8"
"1630854023-717","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Flight Simulator 2002","https://www.metacritic.com/game/pc/flight-simulator-2002","Flight Simulator 2002","Oct 19, 2001","90","7.3","Genre(s): Simulation,                                            Flight,                                            Civilian Plane,                                            Civilian","null"
"1630853992-709","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Total War: Shogun 2","https://www.metacritic.com/game/pc/total-war-shogun-2","Total War: Shogun 2","Mar 15, 2011","90","8.4","Genre(s): Strategy,                                            Turn-Based,                                            Historic,                                            General,                                            Historic","Online Multiplayer"
"1630853860-662","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Railroad Tycoon II","https://www.metacritic.com/game/pc/railroad-tycoon-ii","Railroad Tycoon II","Nov  2, 1998","89","8.5","Genre(s): Strategy,                                            Tycoon,                                            Management,                                            Tycoon,                                            Business / Tycoon","1-8"
"1630853968-699","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Dark Souls III","https://www.metacritic.com/game/pc/dark-souls-iii","Dark Souls III","Apr 11, 2016","89","8.5","Genre(s): Role-Playing,                                            Action RPG","Up to 6"
